RequestID,Date,Time,IP,Protocol,Method,Scale,TileRow,TileColumn,URI,Status,Bytes,TimeTaken,Referer,UserAgent,Cookie,DateNumber
8788,9/3/2013,39:57.0,-,0,0,5,13,20,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/5/13/20,200,17366,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8789,9/3/2013,39:57.0,-,0,0,5,11,21,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/5/11/21,200,46667,1,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8790,9/3/2013,39:57.0,-,0,0,5,13,21,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/5/13/21,200,18145,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8791,9/3/2013,39:57.0,-,0,0,15,12227,9696,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/12227/9696,200,19182,3,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",-,3
8792,9/3/2013,39:57.0,-,0,0,15,12227,9697,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/12227/9697,200,14331,1,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",-,3
8793,9/3/2013,39:57.0,-,0,0,15,12227,9701,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/12227/9701,200,18875,0,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",-,3
8794,9/3/2013,39:57.0,-,0,0,15,12227,9703,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/12227/9703,200,21955,0,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",-,3
8795,9/3/2013,39:57.0,-,0,0,4,6,3,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/4/6/3,200,21528,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8796,9/3/2013,39:57.0,-,0,0,16,24641,19292,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/24641/19292,200,4257,0,-,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",-,3
8797,9/3/2013,39:57.0,-,0,0,16,24641,19294,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/24641/19294,200,22650,2,-,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",-,3
8798,9/3/2013,39:57.0,-,0,0,16,24643,19292,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/24643/19292,200,4174,1,-,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",-,3
8799,9/3/2013,39:57.0,-,0,0,10,374,216,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/10/374/216,200,20358,0,-,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E),-,3
8800,9/3/2013,39:57.0,-,0,0,18,128929,76250,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/128929/76250,200,2821,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8801,9/3/2013,39:57.0,-,0,0,18,128929,76251,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/128929/76251,200,2821,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8802,9/3/2013,39:57.0,-,0,0,18,128931,76252,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/128931/76252,200,2821,4,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8803,9/3/2013,39:57.0,-,0,0,15,12537,9372,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/15/12537/9372,200,22344,1,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
